iter	Passed	Remaining
0	0	98
1	1	91
2	2	86
3	2	85
4	3	85
5	4	86
6	4	86
7	5	86
8	6	86
9	7	85
10	7	84
11	8	84
12	9	83
13	10	82
14	10	82
15	11	81
16	12	81
17	13	80
18	13	79
19	14	78
20	15	78
21	16	77
22	16	76
23	17	75
24	18	75
25	19	74
26	19	74
27	20	73
28	21	73
29	22	72
30	22	71
31	23	70
32	24	70
33	25	69
34	25	68
35	26	67
36	27	67
37	28	66
38	28	65
39	29	64
40	30	64
41	30	63
42	31	62
43	32	62
44	33	61
45	34	60
46	34	59
47	35	59
48	36	58
49	37	57
50	37	57
51	38	56
52	39	55
53	40	54
54	40	54
55	41	53
56	42	52
57	42	51
58	43	51
59	44	50
60	44	49
61	45	48
62	46	47
63	47	47
64	48	46
65	48	45
66	49	45
67	50	44
68	51	43
69	51	42
70	52	42
71	53	41
72	53	40
73	54	39
74	55	39
75	56	38
76	56	37
77	57	36
78	58	36
79	59	35
80	59	34
81	60	33
82	61	33
83	61	32
84	62	31
85	63	30
86	64	30
87	64	29
88	65	28
89	66	27
90	66	27
91	67	26
92	68	25
93	69	24
94	69	24
95	70	23
96	71	22
97	72	22
98	73	21
99	73	20
100	74	19
101	75	19
102	76	18
103	76	17
104	77	16
105	78	16
106	79	15
107	79	14
108	80	14
109	81	13
110	81	12
111	82	11
112	83	11
113	84	10
114	84	9
115	85	8
116	86	8
117	87	7
118	87	6
119	88	5
120	89	5
121	90	4
122	90	3
123	91	2
124	92	2
125	93	1
126	93	0
127	94	0
