iter	Passed	Remaining
0	2	2038
1	3	1716
2	4	1616
3	6	1671
4	8	1663
5	9	1612
6	11	1578
7	12	1547
8	13	1521
9	15	1503
10	16	1496
11	17	1459
12	19	1450
13	20	1439
14	22	1465
15	23	1461
16	25	1454
17	26	1444
18	27	1437
19	29	1429
20	30	1426
21	31	1421
22	33	1415
23	34	1410
24	36	1404
25	37	1416
26	39	1413
27	40	1411
28	41	1405
29	43	1400
30	44	1400
31	46	1396
32	47	1391
33	48	1389
34	50	1386
35	51	1386
36	53	1388
37	54	1390
38	56	1388
39	57	1387
40	59	1401
41	62	1433
42	64	1428
43	65	1422
44	66	1417
45	68	1424
46	70	1419
47	71	1413
48	72	1408
49	73	1405
50	75	1411
51	77	1409
52	78	1409
53	80	1406
54	81	1402
55	83	1403
56	84	1399
57	86	1399
58	87	1398
59	88	1394
60	90	1389
61	91	1386
62	92	1382
63	94	1378
64	95	1375
65	96	1371
66	98	1370
67	99	1367
68	101	1364
69	102	1360
70	103	1357
71	105	1354
72	106	1350
73	107	1347
74	108	1343
75	110	1339
76	111	1336
77	118	1395
78	119	1394
79	121	1391
80	122	1388
81	123	1384
82	124	1380
83	126	1377
84	127	1373
85	129	1371
86	130	1368
87	131	1365
88	133	1361
89	134	1357
90	135	1351
91	136	1346
92	137	1342
93	138	1338
94	140	1334
95	141	1329
96	142	1325
97	143	1322
98	145	1319
99	146	1316
100	147	1312
101	148	1309
102	149	1305
103	151	1302
104	151	1293
105	152	1289
106	154	1285
107	155	1282
108	156	1278
109	157	1275
110	158	1272
111	160	1270
112	161	1268
113	162	1265
114	164	1262
115	165	1258
116	166	1255
117	167	1252
118	168	1249
119	169	1246
120	171	1243
121	172	1240
122	173	1237
123	174	1234
124	176	1232
125	177	1230
126	178	1227
127	179	1224
128	180	1221
129	182	1218
130	183	1215
131	184	1212
132	185	1209
133	186	1207
134	187	1204
135	189	1201
136	190	1200
137	191	1198
138	193	1196
139	194	1193
140	195	1190
141	196	1188
142	197	1185
143	199	1183
144	200	1180
145	201	1177
146	202	1175
147	203	1172
148	205	1171
149	206	1171
150	208	1169
151	209	1167
152	210	1164
153	211	1162
154	212	1159
155	213	1157
156	215	1155
157	216	1152
158	217	1150
159	218	1148
160	219	1145
161	221	1145
162	222	1143
163	223	1141
164	225	1139
165	226	1136
166	227	1134
167	228	1132
168	229	1130
169	230	1127
170	232	1125
171	233	1123
172	234	1121
173	235	1119
174	237	1118
175	238	1118
176	240	1116
177	241	1114
178	242	1112
179	243	1110
180	244	1108
181	246	1105
182	247	1103
183	248	1101
184	249	1099
185	250	1097
186	252	1096
187	253	1095
188	254	1093
189	255	1091
190	257	1089
191	258	1087
192	259	1085
193	260	1082
194	261	1080
195	262	1078
196	264	1076
197	265	1074
198	266	1073
199	267	1071
200	269	1070
201	270	1068
202	271	1066
203	272	1064
204	273	1062
205	275	1060
206	276	1058
207	277	1056
208	278	1054
209	279	1053
210	281	1051
211	282	1049
212	283	1047
213	284	1046
214	286	1044
215	287	1042
216	288	1040
217	289	1038
218	290	1036
219	291	1034
220	293	1033
221	294	1031
222	295	1029
223	296	1027
224	298	1026
225	299	1026
226	300	1024
227	302	1022
228	303	1021
229	304	1019
230	305	1017
231	306	1015
232	308	1014
233	309	1013
234	310	1011
235	312	1010
236	314	1013
237	316	1012
238	317	1011
239	318	1009
240	319	1007
241	321	1006
242	322	1004
243	323	1002
244	324	1001
245	325	999
246	327	997
247	328	996
248	329	995
249	331	994
250	332	992
251	333	991
252	335	989
253	336	987
254	337	985
255	338	984
256	339	982
257	341	980
258	342	979
259	343	977
260	344	976
261	346	975
262	347	974
263	349	973
264	350	971
265	351	970
266	352	968
267	354	967
268	355	965
269	356	963
270	357	962
271	358	960
272	360	959
273	361	958
274	362	956
275	364	955
276	365	953
277	366	952
278	367	950
279	369	949
280	370	947
281	371	945
282	372	944
283	373	942
284	375	941
285	376	939
286	377	938
287	378	936
288	379	934
289	381	933
290	382	931
291	383	930
292	384	928
293	386	927
294	387	925
295	388	923
296	389	922
297	390	921
298	392	919
299	393	917
300	394	916
301	395	914
302	396	913
303	398	911
304	399	909
305	400	908
306	401	906
307	402	905
308	404	903
309	405	902
310	406	901
311	407	899
312	409	898
313	410	896
314	411	895
315	412	893
316	414	892
317	415	890
318	416	889
319	417	887
320	418	886
321	420	884
322	421	883
323	422	881
324	423	880
325	424	878
326	426	877
327	427	875
328	428	874
329	429	872
330	431	871
331	432	869
332	433	868
333	434	866
334	435	865
335	437	864
336	438	862
337	439	861
338	441	860
339	442	859
340	443	857
341	444	856
342	446	854
343	447	852
344	448	851
345	449	849
346	451	848
347	452	847
348	453	846
349	454	844
350	456	843
351	457	841
352	458	840
353	459	838
354	460	837
355	461	835
356	463	834
357	464	832
358	465	831
359	466	829
360	468	828
361	469	827
362	470	825
363	471	823
364	472	822
365	473	820
366	475	819
367	476	817
368	477	816
369	478	815
370	479	813
371	481	812
372	482	811
373	483	809
374	485	808
375	486	806
376	487	805
377	488	803
378	489	802
379	490	800
380	492	799
381	493	798
382	494	796
383	495	795
384	496	793
385	498	792
386	499	791
387	500	789
388	501	788
389	502	786
390	504	785
391	505	783
392	506	782
393	507	780
394	508	779
395	510	777
396	511	776
397	512	774
398	513	773
